CCAA;% mayores
Ceuta y Melilla;12.22581506
Murcia, Región de;16.34686523
Balears, Illes;16.49599225
Canarias;17.46697719
Andalucía;18.26669557
Madrid, Comunidad de;18.43067342
Cataluña;19.3516978
Castilla - La Mancha;19.40591703
Comunitat Valenciana;20.08233971
ESPAÑA;20.1470381
Navarra, Comunidad Foral de;20.44677195
Rioja, La;21.77627047
Extremadura;21.84062312
Aragón;22.14660673
País Vasco;23.47351579
Cantabria;23.48335364
Galicia;26.30198146
Castilla y León;26.47712404
Asturias, Principado de;27.55153768
